"value","frequency","consensusCount","support","consensusScore_count","consensusScore_frequency_weighted","consensusScore_support_weighted","isConsensusOutlier_count"
35,1,4,0.000114351057747284,4,4,0.000457404230989137,TRUE
94,7,3,0.000800457404230989,3,21,0.00240137221269297,TRUE
95,10,2,0.00114351057747284,2,20,0.00228702115494568,FALSE
96,23,2,0.00263007432818754,2,46,0.00526014865637507,FALSE
97,35,1,0.00400228702115495,1,35,0.00400228702115495,FALSE
98,52,0,0.00594625500285878,0,0,0,FALSE
99,69,0,0.00789022298456261,0,0,0,FALSE
100,102,0,0.011663807890223,0,0,0,FALSE
101,123,0,0.014065180102916,0,0,0,FALSE
102,172,0,0.0196683819325329,0,0,0,FALSE
103,229,0,0.0261863922241281,0,0,0,FALSE
104,307,0,0.0351057747284162,0,0,0,FALSE
105,377,0,0.0431103487707261,0,0,0,FALSE
106,468,0,0.053516295025729,0,0,0,FALSE
107,519,0,0.0593481989708405,0,0,0,FALSE
108,592,0,0.0676958261863922,0,0,0,FALSE
109,651,0,0.074442538593482,0,0,0,FALSE
110,663,0,0.0758147512864494,0,0,0,FALSE
111,703,0,0.0803887935963408,0,0,0,FALSE
112,666,0,0.0761578044596913,0,0,0,FALSE
113,613,0,0.0700971983990852,0,0,0,FALSE
114,560,0,0.0640365923384791,0,0,0,FALSE
115,445,0,0.0508862206975415,0,0,0,FALSE
116,359,0,0.041052029731275,0,0,0,FALSE
117,271,0,0.030989136649514,0,0,0,FALSE
118,189,0,0.0216123499142367,0,0,0,FALSE
119,160,0,0.0182961692395655,0,0,0,FALSE
120,119,0,0.0136077758719268,0,0,0,FALSE
121,97,0,0.0110920526014866,0,0,0,FALSE
122,62,0,0.00708976558033162,0,0,0,FALSE
123,50,0,0.00571755288736421,0,0,0,FALSE
124,23,1,0.00263007432818754,1,23,0.00263007432818754,FALSE
125,17,2,0.00194396798170383,2,34,0.00388793596340766,FALSE
126,6,3,0.000686106346483705,3,18,0.00205831903945111,TRUE
130,1,4,0.000114351057747284,4,4,0.000457404230989137,TRUE
142,2,4,0.000228702115494568,4,8,0.000914808461978273,TRUE
144,1,4,0.000114351057747284,4,4,0.000457404230989137,TRUE
260,1,5,0.000114351057747284,5,5,0.000571755288736421,TRUE
